spatial freq.(lp/mm)          MTF
-110302.04               0.000000
-110178.52               0.000000
-110055.00               0.000000
-109931.48               0.000000
-109807.96               0.000000
-109684.44               0.000000
-109560.93               0.000000
-109437.41               0.000000
-109313.89               0.000000
-109190.37               0.000000
-109066.85               0.000000
-108943.33               0.000000
-108819.81               0.000000
-108696.30               0.000000
-108572.78               0.000000
-108449.26               0.000000
-108325.74               0.000000
-108202.22               0.000000
-108078.70               0.000000
-107955.19               0.000000
-107831.67               0.000000
-107708.15               0.000000
-107584.63               0.000000
-107461.11               0.000000
-107337.59               0.000000
-107214.07               0.000000
-107090.56               0.000000
-106967.04               0.000000
-106843.52               0.000000
-106720.00               0.000000
-106596.48               0.000000
-106472.96               0.000000
-106349.44               0.000000
-106225.93               0.000000
-106102.41               0.000000
-105978.89               0.000000
-105855.37               0.000000
-105731.85               0.000000
-105608.33               0.000000
-105484.81               0.000000
-105361.30               0.000000
-105237.78               0.000000
-105114.26               0.000000
-104990.74               0.000000
-104867.22               0.000000
-104743.70               0.000000
-104620.19               0.000000
-104496.67               0.000000
-104373.15               0.000000
-104249.63               0.000000
-104126.11               0.000000
-104002.59               0.000000
-103879.07               0.000000
-103755.56               0.000000
-103632.04               0.000000
-103508.52               0.000000
-103385.00               0.000000
-103261.48               0.000000
-103137.96               0.000000
-103014.44               0.000000
-102890.93               0.000000
-102767.41               0.000000
-102643.89               0.000000
-102520.37               0.000000
-102396.85               0.000000
-102273.33               0.000000
-102149.81               0.000000
-102026.30               0.000000
-101902.78               0.000000
-101779.26               0.000000
-101655.74               0.000000
-101532.22               0.000000
-101408.70               0.000000
-101285.19               0.000000
-101161.67               0.000000
-101038.15               0.000000
-100914.63               0.000000
-100791.11               0.000000
-100667.59               0.000000
-100544.07               0.000000
-100420.56               0.000000
-100297.04               0.000000
-100173.52               0.000000
-100050.00               0.000000
 -99926.48               0.000000
 -99802.96               0.000000
 -99679.44               0.000000
 -99555.93               0.000000
 -99432.41               0.000000
 -99308.89               0.000000
 -99185.37               0.000000
 -99061.85               0.000000
 -98938.33               0.000000
 -98814.81               0.000000
 -98691.30               0.000000
 -98567.78               0.000000
 -98444.26               0.000000
 -98320.74               0.000000
 -98197.22               0.000000
 -98073.70               0.000000
 -97950.19               0.000000
 -97826.67               0.000000
 -97703.15               0.000000
 -97579.63               0.000000
 -97456.11               0.000000
 -97332.59               0.000000
 -97209.07               0.000000
 -97085.56               0.000000
 -96962.04               0.000000
 -96838.52               0.000000
 -96715.00               0.000000
 -96591.48               0.000000
 -96467.96               0.000000
 -96344.44               0.000000
 -96220.93               0.000000
 -96097.41               0.000000
 -95973.89               0.000000
 -95850.37               0.000000
 -95726.85               0.000000
 -95603.33               0.000000
 -95479.81               0.000000
 -95356.30               0.000000
 -95232.78               0.000000
 -95109.26               0.000000
 -94985.74               0.000000
 -94862.22               0.000000
 -94738.70               0.000000
 -94615.19               0.000000
 -94491.67               0.000000
 -94368.15               0.000000
 -94244.63               0.000000
 -94121.11               0.000000
 -93997.59               0.000000
 -93874.07               0.000000
 -93750.56               0.000000
 -93627.04               0.000000
 -93503.52               0.000000
 -93380.00               0.000000
 -93256.48               0.000000
 -93132.96               0.000000
 -93009.44               0.000000
 -92885.93               0.000000
 -92762.41               0.000000
 -92638.89               0.000000
 -92515.37               0.000000
 -92391.85               0.000000
 -92268.33               0.000000
 -92144.81               0.000000
 -92021.30               0.000000
 -91897.78               0.000000
 -91774.26               0.000000
 -91650.74               0.000000
 -91527.22               0.000000
 -91403.70               0.000000
 -91280.19               0.000000
 -91156.67               0.000000
 -91033.15               0.000000
 -90909.63               0.000000
 -90786.11               0.000000
 -90662.59               0.000000
 -90539.07               0.000000
 -90415.56               0.000000
 -90292.04               0.000000
 -90168.52               0.000000
 -90045.00               0.000000
 -89921.48               0.000000
 -89797.96               0.000000
 -89674.44               0.000000
 -89550.93               0.000000
 -89427.41               0.000000
 -89303.89               0.000000
 -89180.37               0.000000
 -89056.85               0.000000
 -88933.33               0.000000
 -88809.81               0.000000
 -88686.30               0.000000
 -88562.78               0.000000
 -88439.26               0.000000
 -88315.74               0.000000
 -88192.22               0.000000
 -88068.70               0.000000
 -87945.19               0.000000
 -87821.67               0.000000
 -87698.15               0.000000
 -87574.63               0.000000
 -87451.11               0.000000
 -87327.59               0.000000
 -87204.07               0.000000
 -87080.56               0.000000
 -86957.04               0.000000
 -86833.52               0.000000
 -86710.00               0.000000
 -86586.48               0.000000
 -86462.96               0.000000
 -86339.44               0.000000
 -86215.93               0.000000
 -86092.41               0.000000
 -85968.89               0.000000
 -85845.37               0.000000
 -85721.85               0.000000
