  r(μm)     depth(nm)
-30.6088    3.82056312
-30.5865    3.71528599
-30.5643    3.82479659
-30.5421    4.10130616
-30.5199    4.18999210
-30.4977    4.05831465
-30.4754    4.20071402
-30.4532    4.27310116
-30.4310    4.08275903
-30.4088    4.00985786
-30.3866    4.01205945
-30.3644    3.76655773
-30.3421    3.77543892
-30.3199    4.06331580
-30.2977    3.88980423
-30.2755    4.20808854
-30.2533    4.49745146
-30.2311    4.37094409
-30.2088    4.37045991
-30.1866    4.58927712
-30.1644    4.15672147
-30.1422    4.31610950
-30.1200    4.37413994
-30.0978    4.37556023
-30.0755    4.59612437
-30.0533    4.90252799
-30.0311    4.79629872
-30.0089    4.81813022
-29.9867    5.04594960
-29.9645    4.66422708
-29.9422    4.72016764
-29.9200    4.88690191
-29.8978    4.67593980
-29.8756    4.85014195
-29.8534    4.95711885
-29.8311    5.18592585
-29.8089    5.07887723
-29.7867    5.20114268
-29.7645    5.06049827
-29.7423    4.91962229
-29.7201    4.91748597
-29.6978    4.71532804
-29.6756    4.42284712
-29.6534    4.42596645
-29.6312    4.57232304
-29.6090    4.45813027
-29.5868    4.31721061
-29.5645    4.41323199
-29.5423    4.14923230
-29.5201    3.80385107
-29.4979    3.93354162
-29.4757    3.87547699
-29.4535    3.75123781
-29.4312    3.74277562
-29.4090    3.75854263
-29.3868    3.55263714
-29.3646    3.79852343
-29.3424    3.75328652
-29.3202    3.47204728
-29.2979    3.42772539
-29.2757    3.25950690
-29.2535    2.94279006
-29.2313    2.81342375
-29.2091    2.76328585
-29.1868    2.55233973
-29.1646    2.59419854
-29.1424    2.68551050
-29.1202    2.74599231
-29.0980    2.86955701
-29.0758    2.82788046
-29.0535    2.76277584
-29.0313    2.66264327
-29.0091    2.64083121
-28.9869    2.52730384
-28.9647    2.54335266
-28.9425    2.55442483
-28.9202    2.72569681
-28.8980    2.69091210
-28.8758    2.70707137
-28.8536    2.68472846
-28.8314    2.74944711
-28.8092    2.48271880
-28.7869    2.22313806
-28.7647    2.19161477
-28.7425    2.34440754
-28.7203    2.40390940
-28.6981    2.55665997
-28.6758    2.88295512
-28.6536    2.88904108
-28.6314    3.03997693
-28.6092    3.10145536
-28.5870    3.03436063
-28.5648    3.02394917
-28.5425    3.02679559
-28.5203    2.87866914
-28.4981    2.62079295
-28.4759    2.66385481
-28.4537    2.92982320
-28.4315    2.81271618
-28.4092    2.73426283
-28.3870    2.78058228
-28.3648    2.80663081
-28.3426    2.55294171
-28.3204    2.62889901
-28.2982    2.38132793
-28.2759    2.27738259
-28.2537    2.40946907
-28.2315    2.40189931
-28.2093    2.36507226
-28.1871    2.69269036
-28.1649    2.55555128
-28.1426    2.48264575
-28.1204    2.65267396
-28.0982    2.43808062
-28.0760    2.50517412
-28.0538    2.60934022
-28.0315    2.76106993
-28.0093    2.69036123
-27.9871    2.92603072
-27.9649    2.98931423
-27.9427    2.84825569
-27.9205    2.95065937
-27.8982    2.85799109
-27.8760    2.75295542
-27.8538    2.79739955
-27.8316    2.59204668
-27.8094    2.41355914
-27.7872    2.47050793
-27.7649    2.49808079
-27.7427    2.55983202
-27.7205    2.52605300
-27.6983    2.53881352
-27.6761    2.39811277
-27.6539    2.27414025
-27.6316    2.12153206
-27.6094    1.99251967
-27.5872    1.69210869
-27.5650    1.75778363
-27.5428    1.52667595
-27.5206    1.60703640
-27.4983    1.44869365
-27.4761    1.62967110
-27.4539    1.52863370
-27.4317    1.78419932
-27.4095    1.50666207
-27.3872    1.32247957
-27.3650    1.44139456
-27.3428    1.26600173
-27.3206    1.02279136
-27.2984    1.33190726
-27.2762    1.25699869
-27.2539    1.29976175
-27.2317    1.55233264
-27.2095    1.72232863
-27.1873    1.77654714
-27.1651    2.05895927
-27.1429    2.02352563
-27.1206    1.84646347
-27.0984    1.79012765
-27.0762    1.82735862
-27.0540    1.81248413
-27.0318    2.10488387
-27.0096    2.29408649
-26.9873    2.17460532
-26.9651    2.17204639
-26.9429    2.12113070
-26.9207    1.91002260
-26.8985    1.82784370
-26.8762    1.98344287
-26.8540    1.53071212
-26.8318    1.54209489
-26.8096    1.58158957
-26.7874    1.51557408
-26.7652    1.30171502
-26.7429    1.70455465
-26.7207    1.52651066
-26.6985    1.48565337
-26.6763    1.28594343
-26.6541    1.20213299
-26.6319    0.82719538
-26.6096    0.80413015
-26.5874    0.88148707
-26.5652    0.66134069
-26.5430    0.90058271
-26.5208    0.86138438
-26.4986    0.54359181
-26.4763    0.55542670
-26.4541    0.58874940
-26.4319    0.37626900
-26.4097    0.32570636
-26.3875    0.21596456
-26.3653    0.07939672
-26.3430    0.17710806
-26.3208    0.53761469
-26.2986    0.48405005
-26.2764    0.50788066
-26.2542    0.39597760
-26.2319    0.38772693
-26.2097   -0.04466518
-26.1875   -0.05079841
-26.1653   -0.24797571
-26.1431   -0.47390819
-26.1209   -0.52706016
-26.0986   -0.46886537
-26.0764   -0.53143204
-26.0542   -0.20277227
-26.0320   -0.07186071
-26.0098    0.00000000
-25.9876   -0.03874401
-25.9653    0.10246310
-25.9431   -0.13896688
-25.9209   -0.12103292
-25.8987   -0.12128258
-25.8765   -0.13317978
-25.8543   -0.16127336
-25.8320    0.01571717
-25.8098    0.00328308
-25.7876    0.33666388
-25.7654    0.38464275
-25.7432    0.28574949
-25.7210   -0.00330695
-25.6987    0.07458517
-25.6765   -0.06134570
-25.6543   -0.11391781
-25.6321   -0.15314486
-25.6099   -0.28883708
-25.5876   -0.33149612
-25.5654   -0.13603390
-25.5432   -0.04846503
-25.5210    0.03289774
-25.4988    0.09366772
-25.4766    0.25057805
-25.4543    0.13169011
-25.4321   -0.15600789
-25.4099   -0.21776986
-25.3877   -0.35295354
-25.3655   -0.35961670
-25.3433   -0.39307179
-25.3210   -0.16526454
-25.2988   -0.29081048
-25.2766   -0.07260953
-25.2544   -0.29161301
-25.2322   -0.19070128
-25.2100   -0.36134943
-25.1877   -0.58463058
-25.1655   -0.74025147
-25.1433   -0.73952117
-25.1211   -0.78690048
-25.0989   -0.85814038
-25.0766   -0.68705923
-25.0544   -0.84741395
-25.0322   -0.94590971
-25.0100   -0.65321680
-24.9878   -0.81058974
-24.9656   -0.92935658
-24.9433   -0.86289298
-24.9211   -1.05552982
-24.8989   -1.12298469
-24.8767   -1.38270022
-24.8545   -1.41559643
-24.8323   -1.65333275
-24.8100   -1.67791588
-24.7878   -1.84919075
-24.7656   -2.02476084
-24.7434   -2.13703270
-24.7212   -1.98832673
-24.6990   -2.26333441
-24.6767   -2.12862351
-24.6545   -2.37867208
-24.6323   -2.30969673
-24.6101   -2.58199684
-24.5879   -2.65036954
-24.5657   -2.78548304
-24.5434   -2.80384468
-24.5212   -2.80701200
-24.4990   -2.71433898
-24.4768   -2.89167310
-24.4546   -2.83584456
-24.4323   -2.86627704
-24.4101   -3.00500014
-24.3879   -3.06167536
-24.3657   -3.06363370
-24.3435   -3.30394024
-24.3213   -3.37980592
-24.2990   -3.29169025
-24.2768   -3.17207512
-24.2546   -3.08146684
-24.2324   -2.86739921
-24.2102   -2.78451152
-24.1880   -2.74851340
-24.1657   -2.49982390
-24.1435   -2.36536276
-24.1213   -2.25358665
-24.0991   -2.14635206
-24.0769   -2.18770259
-24.0547   -2.54132664
-24.0324   -1.94468031
-24.0102   -2.09481698
-23.9880   -1.95978187
-23.9658   -1.60253694
-23.9436   -1.51688286
-23.9214   -1.64641733
-23.8991   -1.57705139
-23.8769   -1.80089170
-23.8547   -1.86050976
-23.8325   -1.83122736
-23.8103   -1.79036870
-23.7880   -1.84900734
-23.7658   -1.51061103
-23.7436   -1.59411024
-23.7214   -1.97113513
-23.6992   -1.89517637
-23.6770   -1.94494781
-23.6547   -2.15403964
-23.6325   -2.03250698
-23.6103   -2.34183046
-23.5881   -2.41494019
-23.5659   -2.38605666
-23.5437   -2.61006472
-23.5214   -2.85896216
-23.4992   -3.03004122
-23.4770   -3.28207565
-23.4548   -3.53879740
-23.4326   -3.53923226
-23.4104   -3.63470984
-23.3881   -3.81984272
-23.3659   -3.99550041
-23.3437   -4.19785832
-23.3215   -4.22305699
-23.2993   -4.20329812
-23.2770   -4.09352628
-23.2548   -3.95018848
-23.2326   -4.22040899
-23.2104   -3.99658143
-23.1882   -4.05869617
-23.1660   -4.41264922
-23.1437   -4.19005769
-23.1215   -4.21825300
-23.0993   -4.55741902
-23.0771   -4.41057843
-23.0549   -4.17521049
-23.0327   -4.34364307
-23.0104   -4.27414874
-22.9882   -4.11422255
-22.9660   -4.39792559
-22.9438   -4.28227130
-22.9216   -4.14106339
-22.8994   -4.51702405
-22.8771   -4.36935692
-22.8549   -3.99344107
-22.8327   -4.18984204
-22.8105   -3.99774186
-22.7883   -3.79836480
-22.7661   -4.04645825
-22.7438   -3.88866030
-22.7216   -3.74044387
-22.6994   -3.78371259
-22.6772   -3.75817201
-22.6550   -3.58493076
-22.6327   -3.76588255
-22.6105   -4.01788137
-22.5883   -4.19924754
-22.5661   -4.30636880
-22.5439   -4.38821440
-22.5217   -4.48705605
-22.4994   -4.68373622
-22.4772   -4.69995938
-22.4550   -4.69817073
-22.4328   -4.72348003
-22.4106   -4.93099016
-22.3884   -4.98133204
-22.3661   -5.08571021
-22.3439   -5.40311614
-22.3217   -5.47367419
-22.2995   -5.56547268
-22.2773   -5.68586070
-22.2551   -5.86450080
-22.2328   -5.75903803
-22.2106   -5.65093568
-22.1884   -5.80728759
-22.1662   -5.53636298
-22.1440   -5.83281032
-22.1218   -6.08495878
-22.0995   -5.76078373
-22.0773   -6.02073480
-22.0551   -6.30599810
-22.0329   -6.26690145
-22.0107   -6.18846434
-21.9884   -6.21145297
-21.9662   -5.87070984
-21.9440   -5.82710713
-21.9218   -5.77349025
-21.8996   -5.59027827
-21.8774   -5.58112516
-21.8551   -5.80597103
-21.8329   -5.74686416
-21.8107   -5.94746294
-21.7885   -6.47422523
-21.7663   -6.49793717
-21.7441   -6.57398367
-21.7218   -6.86281598
-21.6996   -6.78114953
-21.6774   -6.87593544
-21.6552   -7.25263162
-21.6330   -7.22451790
-21.6108   -7.59719060
-21.5885   -7.86841451
-21.5663   -8.13122444
-21.5441   -8.32961022
-21.5219   -8.74597278
-21.4997   -8.63827605
-21.4774   -8.66987317
-21.4552   -9.16741783
-21.4330   -9.52208198
-21.4108   -9.68201193
-21.3886   -9.95458746
-21.3664  -10.28937233
-21.3441  -10.54559382
-21.3219  -10.78358271
-21.2997  -11.32075063
-21.2775  -11.53789074
-21.2553  -11.90950903
-21.2331  -12.33904166
-21.2108  -12.84622282
-21.1886  -12.75919959
-21.1664  -13.16348726
-21.1442  -13.39528602
-21.1220  -13.27695808
-21.0998  -13.17634904
-21.0775  -13.03273027
-21.0553  -13.02452789
-21.0331  -13.20947610
-21.0109  -13.55871312
-20.9887  -13.35421285
-20.9665  -13.62896732
-20.9442  -13.61470625
-20.9220  -13.45918638
-20.8998  -13.73873059
-20.8776  -13.57649340
-20.8554  -13.33006914
-20.8331  -13.49643493
-20.8109  -13.53304096
-20.7887  -13.42090129
-20.7665  -13.49681586
-20.7443  -13.88981732
-20.7221  -13.72057044
-20.6998  -13.57997009
-20.6776  -13.84598928
-20.6554  -13.88545816
-20.6332  -13.84106938
-20.6110  -14.25264828
-20.5888  -14.21093717
-20.5665  -14.24029122
-20.5443  -14.38008379
-20.5221  -14.42610652
-20.4999  -14.16934198
-20.4777  -14.38090783
-20.4555  -14.35128948
-20.4332  -14.34674338
-20.4110  -14.57601974
-20.3888  -14.59621539
-20.3666  -14.46458771
-20.3444  -14.62454228
-20.3222  -14.73747718
-20.2999  -14.55517829
-20.2777  -14.62748750
-20.2555  -14.72086103
-20.2333  -14.52435670
-20.2111  -14.71962473
-20.1888  -15.03092398
-20.1666  -14.88914632
-20.1444  -15.05001608
-20.1222  -15.12572791
-20.1000  -14.82146717
-20.0778  -14.74255959
-20.0555  -14.95872926
-20.0333  -14.91273123
-20.0111  -14.98627675
-19.9889  -15.34612926
-19.9667  -15.70126975
-19.9445  -15.76251421
-19.9222  -15.97315888
-19.9000  -15.89741469
-19.8778  -15.91962895
-19.8556  -16.09634693
-19.8334  -16.02192469
-19.8112  -15.97708584
-19.7889  -16.17474604
-19.7667  -16.00885285
-19.7445  -16.09385876
-19.7223  -16.24158866
-19.7001  -16.14200428
-19.6778  -16.07351543
-19.6556  -16.17793105
-19.6334  -16.40298213
-19.6112  -16.53930446
-19.5890  -16.84742301
-19.5668  -17.32756875
-19.5445  -17.41639476
-19.5223  -17.62207406
-19.5001  -17.96586085
-19.4779  -18.00779460
-19.4557  -18.42904005
-19.4335  -18.71899232
-19.4112  -19.00118628
-19.3890  -19.32261940
-19.3668  -19.72840918
-19.3446  -20.12691195
-19.3224  -20.19259314
-19.3002  -20.65801293
-19.2779  -20.78031364
-19.2557  -20.98301252
-19.2335  -21.31025655
-19.2113  -21.40990966
-19.1891  -21.70536934
-19.1669  -22.33533685
-19.1446  -23.05107500
-19.1224  -23.25604968
-19.1002  -24.21909168
-19.0780  -24.81651889
-19.0558  -25.26618611
-19.0335  -26.01608171
-19.0113  -26.58977632
-18.9891  -26.96298982
-18.9669  -27.77661784
-18.9447  -28.35781544
-18.9225  -28.73001552
-18.9002  -29.41523207
-18.8780  -30.39462874
-18.8558  -31.21496842
-18.8336  -32.16720021
-18.8114  -33.19108127
-18.7892  -33.74019034
-18.7669  -34.56636497
-18.7447  -35.24838642
-18.7225  -35.88106874
-18.7003  -36.88443400
-18.6781  -37.96116014
-18.6559  -38.88338442
-18.6336  -39.94510406
-18.6114  -41.33036426
-18.5892  -42.23411282
-18.5670  -43.38929052
-18.5448  -44.49671915
-18.5226  -45.52295415
-18.5003  -47.10404413
-18.4781  -48.80395800
-18.4559  -50.98904831
-18.4337  -53.17402834
-18.4115  -55.92767573
-18.3892  -58.99689548
-18.3670  -62.13760130
-18.3448  -65.41601277
-18.3226  -68.97978196
-18.3004  -72.28852298
-18.2782  -76.29657137
-18.2559  -80.93312135
-18.2337  -85.79467405
-18.2115  -91.06702773
-18.1893  -96.83183860
-18.1671  -102.29774845
-18.1449  -107.75123866
-18.1226  -112.95817195
-18.1004  -118.32358802
-18.0782  -123.94063804
-18.0560  -131.06622967
-18.0338  -139.69139516
-18.0116  -150.03770101
-17.9893  -162.74838824
-17.9671  -177.28596277
-17.9449  -193.67920201
-17.9227  -211.33704118
-17.9005  -230.16471235
-17.8782  -250.34732908
-17.8560  -272.89584635
-17.8338  -298.53144647
-17.8116  -325.62973192
-17.7894  -354.19361504
-17.7672  -383.69336059
-17.7449  -412.61114655
-17.7227  -439.18226255
-17.7005  -460.64408146
-17.6783  -475.86767536
-17.6561  -486.04846613
-17.6339  -494.51426072
-17.6116  -501.75367067
-17.5894  -507.66442778
-17.5672  -512.59567325
-17.5450  -516.50709588
-17.5228  -519.75340074
-17.5006  -522.51257713
-17.4783  -524.71177919
-17.4561  -526.23384846
-17.4339  -527.96794490
-17.4117  -528.90028755
-17.3895  -529.53318599
-17.3673  -530.55254591
-17.3450  -531.29515556
-17.3228  -531.75953199
-17.3006  -532.34249782
-17.2784  -532.99040659
-17.2562  -532.92596342
-17.2339  -533.30847735
-17.2117  -533.48111009
-17.1895  -533.50958433
-17.1673  -533.90082769
-17.1451  -534.26400920
